"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_1223552"	858.82005	1066.484275	603.9055375	697.27805	478.53583125	804.600525	1051.48546875	611.1523875	846.8575875	785.76404375	1175.508475	885.17323125	856.25975625	1184.717325	843.96545625	994.23600625
"ILMN_1248909"	131.22424375	144.8410875	124.5499125	126.19165	154.0920125	120.29525625	146.78883125	127.9203375	132.74248125	128.3112125	131.92065	137.29269375	137.60834375	115.908639375	130.32516875	144.58245
"ILMN_2590053"	160.44215625	161.52003125	176.4733875	169.71926875	172.195825	150.40661875	145.52283125	168.21001875	176.181475	170.11555	179.47543125	167.405175	152.5959	197.8124875	142.92784375	153.977525
"ILMN_1258515"	5362.6580625	5490.4263125	6195.0173125	6914.2179375	5553.339875	6416.5500625	5961.891125	7687.282375	5961.891125	4903.756875	5511.0620625	5870.1899375	4749.31925	5255.2175625	7089.6139375	6461.444625
"ILMN_2680770"	149.891775	134.0968	137.75416875	148.0238375	105.011615625	172.71125	112.2738675	152.5959	208.47411875	161.52003125	165.352325	124.3419625	128.3112125	123.57643125	137.29269375	176.04131875
"ILMN_1227736"	116.054898125	117.01721	125.5734875	134.54766875	112.661195	109.956400625	131.56240625	129.869125	129.869125	112.2738675	128.0855	111.74460875	103.240440625	149.3810625	122.556155	91.489439375
"ILMN_2676253"	108.82835625	126.8723375	127.8113	116.00393375	103.826925625	97.156454375	102.393873125	134.0968	108.042913125	102.17657625	100.724121875	116.897611875	101.353995	98.13702875	128.828875	118.28397375
"ILMN_3008475"	1267.45695	1285.15585625	1178.5776375	1143.99753125	1094.3314625	1262.1648125	1141.8779125	1190.5667125	1135.8040125	1140.69938125	1223.51951875	1143.99753125	1107.117925	1236.8357125	1262.1648125	1039.3038
"ILMN_2741114"	139.36968125	128.7490125	147.4711625	146.66653125	167.08535	140.569675	132.74248125	142.63666875	136.01626875	157.98915	139.70715625	166.38884375	148.13456875	111.74460875	139.26	145.0763375
"ILMN_2760979"	3446.35375	3430.6870625	3416.7745	3355.044375	2499.3095	3293.9956875	3172.23925	3293.9956875	3717.0436875	3641.564875	3075.5344375	3606.001375	3533.4230625	3092.9448125	3124.1765625	4071.258
"ILMN_2601590"	1113.019425	944.36466875	892.294325	1122.51450625	929.457175	1027.37534375	979.019975	1080.8023125	1156.78274375	1070.832125	1110.9843625	1066.484275	1229.87048125	1118.26206875	1229.87048125	1169.7625625
"ILMN_2804900"	300.037725	351.88310625	235.85149375	275.1845625	322.49250625	318.9340875	347.828125	288.757175	278.8141375	267.584125	291.89965625	323.89803125	289.77759375	340.64260625	256.3057875	289.07984375
"ILMN_2649846"	306.344175	347.4489125	358.67744375	323.38513125	253.3186375	355.4992	310.0308	440.57100625	362.6717625	350.3469625	323.89803125	324.632125	322.9239875	407.30484375	413.97884375	396.13605625
"ILMN_2753589"	1307.7215875	1437.944275	1368.5311375	1088.952825	1496.196	1209.75126875	1484.3771875	1226.477875	988.7609875	1466.9484375	1392.60309375	1216.872075	1407.1428125	1423.1983	1165.2303875	1148.41759375
"ILMN_1235016"	139.91308125	145.4476125	123.98743125	131.32893125	151.44723125	135.7785	153.8264	139.36968125	140.15368125	145.32650625	191.68650625	142.92784375	136.77183125	159.95944375	142.39375625	156.883075
"ILMN_2884610"	259.3312625	303.26800625	234.49990625	263.60473125	232.32425	224.39835625	258.1617	256.3057875	210.14479375	247.90790625	273.89105	253.7228625	265.982575	210.14479375	250.2182125	263.60473125
"ILMN_1238676"	444.1658375	505.1931375	422.91811875	539.162925	424.99023125	415.21165	438.04120625	564.6511875	655.18700625	461.87206875	549.77914375	415.93375	482.4243375	460.49676875	564.6511875	455.24595
"ILMN_2671286"	2009.3550625	2147.8649375	2005.5525	1714.0495	1894.9728125	1860.9055625	1978.1365625	1735.9781875	1923.6328125	1793.8011875	2047.8650625	1954.6638125	2080.4104375	2113.181875	1638.9209375	1684.494125
"ILMN_2855261"	1392.60309375	1407.1428125	1108.95990625	1169.7625625	1313.20301875	1359.4382125	1544.861375	1178.5776375	1307.7215875	1247.02886875	1492.7625625	1513.508375	1457.8200625	1607.0955	1368.5311375	1192.84748125
"ILMN_2954868"	624.4037625	609.69428125	716.2867875	745.105725	617.5817875	627.1735625	586.84064375	888.09784375	779.4332	875.2430875	636.841625	666.1641375	648.5662125	537.376675	611.1523875	1011.6080875
"ILMN_2827607"	159.95944375	164.5973875	174.42900625	174.42900625	160.80866875	151.44723125	176.181475	191.55674375	161.52003125	171.31930625	148.428275	163.8537	194.7649125	200.41200625	163.0377875	180.47830625
"ILMN_2914938"	1986.3850625	1518.3740625	1039.3038	1530.4270625	751.81828125	2147.8649375	1776.656625	1525.7393125	2553.5140625	1163.37806875	1885.4665625	1642.4338125	1959.4888125	2366.4953125	1927.210125	1329.955575
"ILMN_1255644"	265.26173125	289.07984375	193.1217125	309.26810625	190.22409375	233.50710625	287.6532625	338.3907375	378.659225	254.0396375	444.1658375	245.3036625	290.72851875	454.54180625	370.123525	251.6539875
"ILMN_2673601"	296.0426625	292.27215625	279.14310625	278.8141375	279.93808125	277.80234375	350.920375	272.0590875	335.98446875	283.251625	379.96375	323.38513125	266.608625	382.86965625	316.02455625	318.9340875
"ILMN_2971131"	4509.5985	4594.5345	4311.7819375	5490.4263125	4367.8756875	4410.498	4348.521875	5199.489875	5553.339875	4721.5948125	5111.885375	4230.6330625	4879.410375	4879.410375	5490.4263125	4367.8756875
"ILMN_2890284"	272.0590875	280.28693125	251.04778125	339.56315	243.80643125	270.02800625	254.0396375	280.28693125	305.0333	285.3097	296.34825625	217.88810625	268.980575	331.39755625	304.5577625	256.9303375
"ILMN_1225507"	761.1760375	737.69863125	713.32231875	845.5168375	810.8107375	694.080375	755.15470625	810.8107375	745.98614375	747.1035	710.5866875	654.0427875	722.89168125	802.1184625	831.2049875	732.0972
"ILMN_2824760"	184.6517875	168.69920625	170.11555	175.63280625	213.62794375	199.52065	179.47543125	206.3783375	198.35208125	172.195825	171.31930625	189.84823125	196.55869375	163.3473875	165.62465625	187.0273375
"ILMN_1242706"	508.03130625	461.87206875	327.91088125	467.57603125	314.3096125	419.03473125	407.30484375	360.3740125	500.61184375	391.5127125	560.99875	435.834525	398.5803	556.1016375	475.05268125	373.4171125
"ILMN_1230396"	411.09823125	290.72851875	547.97866875	619.35105625	427.86334375	438.8646875	281.8387375	422.91811875	396.13605625	381.18365625	339.56315	439.61655625	312.41129375	380.52584375	421.673425	326.74744375
"ILMN_3070533"	501.43746875	547.97866875	513.946825	570.0914375	529.0310875	522.01415	547.97866875	496.77698125	526.2657625	516.452625	545.83179375	466.60140625	508.03130625	590.74799375	532.9889125	469.59958125
"ILMN_2745741"	1567.444875	1551.9520625	1791.68475	1434.38813125	1551.9520625	1469.4748125	1525.7393125	1864.2593125	1447.23975	1772.6928125	1571.3953125	1500.3675	1434.38813125	1500.3675	1399.4982625	1672.5166875
"ILMN_3103652"	409.0193875	427.86334375	356.17580625	364.35035	407.8695125	403.995675	400.92385	389.96106875	370.8313375	398.5803	409.6721	330.28069375	424.1533625	405.60605	400.92385	448.5433
"ILMN_2932539"	589.28789375	606.53379375	682.255475	607.89249375	640.32735	650.56551875	530.36348125	672.267575	659.59561875	595.24604375	613.168375	598.945925	553.2442875	569.1580375	667.36076875	522.01415
"ILMN_2776230"	1262.1648125	1204.351475	1264.62216875	929.457175	1730.81225	1257.5928375	1571.3953125	1002.75813125	1118.26206875	1352.4790375	1046.6872125	1039.3038	1304.7353875	985.636725	991.32246875	1476.3991875
"ILMN_2724371"	860.44346875	791.9050375	857.9393875	774.00280625	806.4187375	888.09784375	797.6566375	821.10241875	698.8008625	987.18319375	621.8352375	856.25975625	898.05045625	697.27805	776.9565625	840.94576875
